,HCPID,Trial,TrialType,BlockType
129,101006_fnca,1,Reward,MostlyReward
130,101006_fnca,2,Reward,MostlyReward
131,101006_fnca,3,Punishment,MostlyReward
132,101006_fnca,4,Reward,MostlyReward
133,101006_fnca,5,Reward,MostlyReward
134,101006_fnca,6,Reward,MostlyReward
135,101006_fnca,7,Neutral,MostlyReward
136,101006_fnca,8,Reward,MostlyReward
137,101006_fnca,10,Reward,MostlyPunishment
138,101006_fnca,11,Punishment,MostlyPunishment
139,101006_fnca,12,Punishment,MostlyPunishment
140,101006_fnca,13,Punishment,MostlyPunishment
141,101006_fnca,14,Neutral,MostlyPunishment
142,101006_fnca,15,Punishment,MostlyPunishment
143,101006_fnca,16,Punishment,MostlyPunishment
144,101006_fnca,17,Punishment,MostlyPunishment
145,101006_fnca,19,Punishment,MostlyPunishment
146,101006_fnca,20,Punishment,MostlyPunishment
147,101006_fnca,21,Punishment,MostlyPunishment
148,101006_fnca,22,Neutral,MostlyPunishment
149,101006_fnca,23,Punishment,MostlyPunishment
150,101006_fnca,24,Neutral,MostlyPunishment
151,101006_fnca,25,Punishment,MostlyPunishment
152,101006_fnca,26,Punishment,MostlyPunishment
153,101006_fnca,28,Reward,MostlyReward
154,101006_fnca,29,Reward,MostlyReward
155,101006_fnca,30,Punishment,MostlyReward
156,101006_fnca,31,Reward,MostlyReward
157,101006_fnca,32,Punishment,MostlyReward
158,101006_fnca,33,Reward,MostlyReward
159,101006_fnca,34,Reward,MostlyReward
160,101006_fnca,35,Reward,MostlyReward
161,101006_fnca,1,Punishment,MostlyPunishment
162,101006_fnca,2,Punishment,MostlyPunishment
163,101006_fnca,3,Reward,MostlyPunishment
164,101006_fnca,4,Punishment,MostlyPunishment
165,101006_fnca,5,Reward,MostlyPunishment
166,101006_fnca,6,Punishment,MostlyPunishment
167,101006_fnca,7,Punishment,MostlyPunishment
168,101006_fnca,8,Punishment,MostlyPunishment
169,101006_fnca,10,Reward,MostlyReward
170,101006_fnca,11,Neutral,MostlyReward
171,101006_fnca,12,Reward,MostlyReward
172,101006_fnca,13,Reward,MostlyReward
173,101006_fnca,14,Reward,MostlyReward
174,101006_fnca,15,Reward,MostlyReward
175,101006_fnca,16,Neutral,MostlyReward
176,101006_fnca,17,Reward,MostlyReward
177,101006_fnca,19,Punishment,MostlyPunishment
178,101006_fnca,20,Punishment,MostlyPunishment
179,101006_fnca,21,Reward,MostlyPunishment
180,101006_fnca,22,Punishment,MostlyPunishment
181,101006_fnca,23,Reward,MostlyPunishment
182,101006_fnca,24,Punishment,MostlyPunishment
183,101006_fnca,25,Punishment,MostlyPunishment
184,101006_fnca,26,Punishment,MostlyPunishment
185,101006_fnca,28,Reward,MostlyReward
186,101006_fnca,29,Reward,MostlyReward
187,101006_fnca,30,Punishment,MostlyReward
188,101006_fnca,31,Reward,MostlyReward
189,101006_fnca,32,Punishment,MostlyReward
190,101006_fnca,33,Reward,MostlyReward
191,101006_fnca,34,Reward,MostlyReward
192,101006_fnca,35,Reward,MostlyReward
