,HCPID,Trial,TrialType,BlockType
4673,131217_fnca,1,Reward,MostlyReward
4674,131217_fnca,2,Reward,MostlyReward
4675,131217_fnca,3,Punishment,MostlyReward
4676,131217_fnca,4,Reward,MostlyReward
4677,131217_fnca,5,Reward,MostlyReward
4678,131217_fnca,6,Reward,MostlyReward
4679,131217_fnca,7,Neutral,MostlyReward
4680,131217_fnca,8,Reward,MostlyReward
4681,131217_fnca,10,Reward,MostlyPunishment
4682,131217_fnca,11,Punishment,MostlyPunishment
4683,131217_fnca,12,Punishment,MostlyPunishment
4684,131217_fnca,13,Punishment,MostlyPunishment
4685,131217_fnca,14,Neutral,MostlyPunishment
4686,131217_fnca,15,Punishment,MostlyPunishment
4687,131217_fnca,16,Punishment,MostlyPunishment
4688,131217_fnca,17,Punishment,MostlyPunishment
4689,131217_fnca,19,Punishment,MostlyPunishment
4690,131217_fnca,20,Punishment,MostlyPunishment
4691,131217_fnca,21,Punishment,MostlyPunishment
4692,131217_fnca,22,Neutral,MostlyPunishment
4693,131217_fnca,23,Punishment,MostlyPunishment
4694,131217_fnca,24,Neutral,MostlyPunishment
4695,131217_fnca,25,Punishment,MostlyPunishment
4696,131217_fnca,26,Punishment,MostlyPunishment
4697,131217_fnca,28,Reward,MostlyReward
4698,131217_fnca,29,Reward,MostlyReward
4699,131217_fnca,30,Punishment,MostlyReward
4700,131217_fnca,31,Reward,MostlyReward
4701,131217_fnca,32,Punishment,MostlyReward
4702,131217_fnca,33,Reward,MostlyReward
4703,131217_fnca,34,Reward,MostlyReward
4704,131217_fnca,35,Reward,MostlyReward
4705,131217_fnca,1,Punishment,MostlyPunishment
4706,131217_fnca,2,Punishment,MostlyPunishment
4707,131217_fnca,3,Reward,MostlyPunishment
4708,131217_fnca,4,Punishment,MostlyPunishment
4709,131217_fnca,5,Reward,MostlyPunishment
4710,131217_fnca,6,Punishment,MostlyPunishment
4711,131217_fnca,7,Punishment,MostlyPunishment
4712,131217_fnca,8,Punishment,MostlyPunishment
4713,131217_fnca,10,Reward,MostlyReward
4714,131217_fnca,11,Neutral,MostlyReward
4715,131217_fnca,12,Reward,MostlyReward
4716,131217_fnca,13,Reward,MostlyReward
4717,131217_fnca,14,Reward,MostlyReward
4718,131217_fnca,15,Reward,MostlyReward
4719,131217_fnca,16,Neutral,MostlyReward
4720,131217_fnca,17,Reward,MostlyReward
4721,131217_fnca,19,Punishment,MostlyPunishment
4722,131217_fnca,20,Punishment,MostlyPunishment
4723,131217_fnca,21,Reward,MostlyPunishment
4724,131217_fnca,22,Punishment,MostlyPunishment
4725,131217_fnca,23,Reward,MostlyPunishment
4726,131217_fnca,24,Punishment,MostlyPunishment
4727,131217_fnca,25,Punishment,MostlyPunishment
4728,131217_fnca,26,Punishment,MostlyPunishment
4729,131217_fnca,28,Reward,MostlyReward
4730,131217_fnca,29,Reward,MostlyReward
4731,131217_fnca,30,Punishment,MostlyReward
4732,131217_fnca,31,Reward,MostlyReward
4733,131217_fnca,32,Punishment,MostlyReward
4734,131217_fnca,33,Reward,MostlyReward
4735,131217_fnca,34,Reward,MostlyReward
4736,131217_fnca,35,Reward,MostlyReward
