,HCPID,Trial,TrialType,BlockType
8193,153429_fnca,1,Reward,MostlyReward
8194,153429_fnca,2,Reward,MostlyReward
8195,153429_fnca,3,Punishment,MostlyReward
8196,153429_fnca,4,Reward,MostlyReward
8197,153429_fnca,5,Reward,MostlyReward
8198,153429_fnca,6,Reward,MostlyReward
8199,153429_fnca,7,Neutral,MostlyReward
8200,153429_fnca,8,Reward,MostlyReward
8201,153429_fnca,10,Reward,MostlyPunishment
8202,153429_fnca,11,Punishment,MostlyPunishment
8203,153429_fnca,12,Punishment,MostlyPunishment
8204,153429_fnca,13,Punishment,MostlyPunishment
8205,153429_fnca,14,Neutral,MostlyPunishment
8206,153429_fnca,15,Punishment,MostlyPunishment
8207,153429_fnca,16,Punishment,MostlyPunishment
8208,153429_fnca,17,Punishment,MostlyPunishment
8209,153429_fnca,19,Punishment,MostlyPunishment
8210,153429_fnca,20,Punishment,MostlyPunishment
8211,153429_fnca,21,Punishment,MostlyPunishment
8212,153429_fnca,22,Neutral,MostlyPunishment
8213,153429_fnca,23,Punishment,MostlyPunishment
8214,153429_fnca,24,Neutral,MostlyPunishment
8215,153429_fnca,25,Punishment,MostlyPunishment
8216,153429_fnca,26,Punishment,MostlyPunishment
8217,153429_fnca,28,Reward,MostlyReward
8218,153429_fnca,29,Reward,MostlyReward
8219,153429_fnca,30,Punishment,MostlyReward
8220,153429_fnca,31,Reward,MostlyReward
8221,153429_fnca,32,Punishment,MostlyReward
8222,153429_fnca,33,Reward,MostlyReward
8223,153429_fnca,34,Reward,MostlyReward
8224,153429_fnca,35,Reward,MostlyReward
8225,153429_fnca,1,Punishment,MostlyPunishment
8226,153429_fnca,2,Punishment,MostlyPunishment
8227,153429_fnca,3,Reward,MostlyPunishment
8228,153429_fnca,4,Punishment,MostlyPunishment
8229,153429_fnca,5,Reward,MostlyPunishment
8230,153429_fnca,6,Punishment,MostlyPunishment
8231,153429_fnca,7,Punishment,MostlyPunishment
8232,153429_fnca,8,Punishment,MostlyPunishment
8233,153429_fnca,10,Reward,MostlyReward
8234,153429_fnca,11,Neutral,MostlyReward
8235,153429_fnca,12,Reward,MostlyReward
8236,153429_fnca,13,Reward,MostlyReward
8237,153429_fnca,14,Reward,MostlyReward
8238,153429_fnca,15,Reward,MostlyReward
8239,153429_fnca,16,Neutral,MostlyReward
8240,153429_fnca,17,Reward,MostlyReward
8241,153429_fnca,19,Punishment,MostlyPunishment
8242,153429_fnca,20,Punishment,MostlyPunishment
8243,153429_fnca,21,Reward,MostlyPunishment
8244,153429_fnca,22,Punishment,MostlyPunishment
8245,153429_fnca,23,Reward,MostlyPunishment
8246,153429_fnca,24,Punishment,MostlyPunishment
8247,153429_fnca,25,Punishment,MostlyPunishment
8248,153429_fnca,26,Punishment,MostlyPunishment
8249,153429_fnca,28,Reward,MostlyReward
8250,153429_fnca,29,Reward,MostlyReward
8251,153429_fnca,30,Punishment,MostlyReward
8252,153429_fnca,31,Reward,MostlyReward
8253,153429_fnca,32,Punishment,MostlyReward
8254,153429_fnca,33,Reward,MostlyReward
8255,153429_fnca,34,Reward,MostlyReward
8256,153429_fnca,35,Reward,MostlyReward
