,HCPID,Trial,TrialType,BlockType
12545,992774_fnca,1,Reward,MostlyReward
12546,992774_fnca,2,Reward,MostlyReward
12547,992774_fnca,3,Punishment,MostlyReward
12548,992774_fnca,4,Reward,MostlyReward
12549,992774_fnca,5,Reward,MostlyReward
12550,992774_fnca,6,Reward,MostlyReward
12551,992774_fnca,7,Neutral,MostlyReward
12552,992774_fnca,8,Reward,MostlyReward
12553,992774_fnca,10,Reward,MostlyPunishment
12554,992774_fnca,11,Punishment,MostlyPunishment
12555,992774_fnca,12,Punishment,MostlyPunishment
12556,992774_fnca,13,Punishment,MostlyPunishment
12557,992774_fnca,14,Neutral,MostlyPunishment
12558,992774_fnca,15,Punishment,MostlyPunishment
12559,992774_fnca,16,Punishment,MostlyPunishment
12560,992774_fnca,17,Punishment,MostlyPunishment
12561,992774_fnca,19,Punishment,MostlyPunishment
12562,992774_fnca,20,Punishment,MostlyPunishment
12563,992774_fnca,21,Punishment,MostlyPunishment
12564,992774_fnca,22,Neutral,MostlyPunishment
12565,992774_fnca,23,Punishment,MostlyPunishment
12566,992774_fnca,24,Neutral,MostlyPunishment
12567,992774_fnca,25,Punishment,MostlyPunishment
12568,992774_fnca,26,Punishment,MostlyPunishment
12569,992774_fnca,28,Reward,MostlyReward
12570,992774_fnca,29,Reward,MostlyReward
12571,992774_fnca,30,Punishment,MostlyReward
12572,992774_fnca,31,Reward,MostlyReward
12573,992774_fnca,32,Punishment,MostlyReward
12574,992774_fnca,33,Reward,MostlyReward
12575,992774_fnca,34,Reward,MostlyReward
12576,992774_fnca,35,Reward,MostlyReward
12577,992774_fnca,1,Punishment,MostlyPunishment
12578,992774_fnca,2,Punishment,MostlyPunishment
12579,992774_fnca,3,Reward,MostlyPunishment
12580,992774_fnca,4,Punishment,MostlyPunishment
12581,992774_fnca,5,Reward,MostlyPunishment
12582,992774_fnca,6,Punishment,MostlyPunishment
12583,992774_fnca,7,Punishment,MostlyPunishment
12584,992774_fnca,8,Punishment,MostlyPunishment
12585,992774_fnca,10,Reward,MostlyReward
12586,992774_fnca,11,Neutral,MostlyReward
12587,992774_fnca,12,Reward,MostlyReward
12588,992774_fnca,13,Reward,MostlyReward
12589,992774_fnca,14,Reward,MostlyReward
12590,992774_fnca,15,Reward,MostlyReward
12591,992774_fnca,16,Neutral,MostlyReward
12592,992774_fnca,17,Reward,MostlyReward
12593,992774_fnca,19,Punishment,MostlyPunishment
12594,992774_fnca,20,Punishment,MostlyPunishment
12595,992774_fnca,21,Reward,MostlyPunishment
12596,992774_fnca,22,Punishment,MostlyPunishment
12597,992774_fnca,23,Reward,MostlyPunishment
12598,992774_fnca,24,Punishment,MostlyPunishment
12599,992774_fnca,25,Punishment,MostlyPunishment
12600,992774_fnca,26,Punishment,MostlyPunishment
12601,992774_fnca,28,Reward,MostlyReward
12602,992774_fnca,29,Reward,MostlyReward
12603,992774_fnca,30,Punishment,MostlyReward
12604,992774_fnca,31,Reward,MostlyReward
12605,992774_fnca,32,Punishment,MostlyReward
12606,992774_fnca,33,Reward,MostlyReward
12607,992774_fnca,34,Reward,MostlyReward
12608,992774_fnca,35,Reward,MostlyReward
