,HCPID,Trial,TrialType,BlockType
10945,169141_fnca,1,Reward,MostlyReward
10946,169141_fnca,2,Reward,MostlyReward
10947,169141_fnca,3,Punishment,MostlyReward
10948,169141_fnca,4,Reward,MostlyReward
10949,169141_fnca,5,Reward,MostlyReward
10950,169141_fnca,6,Reward,MostlyReward
10951,169141_fnca,7,Neutral,MostlyReward
10952,169141_fnca,8,Reward,MostlyReward
10953,169141_fnca,10,Reward,MostlyPunishment
10954,169141_fnca,11,Punishment,MostlyPunishment
10955,169141_fnca,12,Punishment,MostlyPunishment
10956,169141_fnca,13,Punishment,MostlyPunishment
10957,169141_fnca,14,Neutral,MostlyPunishment
10958,169141_fnca,15,Punishment,MostlyPunishment
10959,169141_fnca,16,Punishment,MostlyPunishment
10960,169141_fnca,17,Punishment,MostlyPunishment
10961,169141_fnca,19,Punishment,MostlyPunishment
10962,169141_fnca,20,Punishment,MostlyPunishment
10963,169141_fnca,21,Punishment,MostlyPunishment
10964,169141_fnca,22,Neutral,MostlyPunishment
10965,169141_fnca,23,Punishment,MostlyPunishment
10966,169141_fnca,24,Neutral,MostlyPunishment
10967,169141_fnca,25,Punishment,MostlyPunishment
10968,169141_fnca,26,Punishment,MostlyPunishment
10969,169141_fnca,28,Reward,MostlyReward
10970,169141_fnca,29,Reward,MostlyReward
10971,169141_fnca,30,Punishment,MostlyReward
10972,169141_fnca,31,Reward,MostlyReward
10973,169141_fnca,32,Punishment,MostlyReward
10974,169141_fnca,33,Reward,MostlyReward
10975,169141_fnca,34,Reward,MostlyReward
10976,169141_fnca,35,Reward,MostlyReward
10977,169141_fnca,1,Punishment,MostlyPunishment
10978,169141_fnca,2,Punishment,MostlyPunishment
10979,169141_fnca,3,Reward,MostlyPunishment
10980,169141_fnca,4,Punishment,MostlyPunishment
10981,169141_fnca,5,Reward,MostlyPunishment
10982,169141_fnca,6,Punishment,MostlyPunishment
10983,169141_fnca,7,Punishment,MostlyPunishment
10984,169141_fnca,8,Punishment,MostlyPunishment
10985,169141_fnca,10,Reward,MostlyReward
10986,169141_fnca,11,Neutral,MostlyReward
10987,169141_fnca,12,Reward,MostlyReward
10988,169141_fnca,13,Reward,MostlyReward
10989,169141_fnca,14,Reward,MostlyReward
10990,169141_fnca,15,Reward,MostlyReward
10991,169141_fnca,16,Neutral,MostlyReward
10992,169141_fnca,17,Reward,MostlyReward
10993,169141_fnca,19,Punishment,MostlyPunishment
10994,169141_fnca,20,Punishment,MostlyPunishment
10995,169141_fnca,21,Reward,MostlyPunishment
10996,169141_fnca,22,Punishment,MostlyPunishment
10997,169141_fnca,23,Reward,MostlyPunishment
10998,169141_fnca,24,Punishment,MostlyPunishment
10999,169141_fnca,25,Punishment,MostlyPunishment
11000,169141_fnca,26,Punishment,MostlyPunishment
11001,169141_fnca,28,Reward,MostlyReward
11002,169141_fnca,29,Reward,MostlyReward
11003,169141_fnca,30,Punishment,MostlyReward
11004,169141_fnca,31,Reward,MostlyReward
11005,169141_fnca,32,Punishment,MostlyReward
11006,169141_fnca,33,Reward,MostlyReward
11007,169141_fnca,34,Reward,MostlyReward
11008,169141_fnca,35,Reward,MostlyReward
