,HCPID,Trial,TrialType,BlockType
6721,145531_fnca,1,Reward,MostlyReward
6722,145531_fnca,2,Reward,MostlyReward
6723,145531_fnca,3,Punishment,MostlyReward
6724,145531_fnca,4,Reward,MostlyReward
6725,145531_fnca,5,Reward,MostlyReward
6726,145531_fnca,6,Reward,MostlyReward
6727,145531_fnca,7,Neutral,MostlyReward
6728,145531_fnca,8,Reward,MostlyReward
6729,145531_fnca,10,Reward,MostlyPunishment
6730,145531_fnca,11,Punishment,MostlyPunishment
6731,145531_fnca,12,Punishment,MostlyPunishment
6732,145531_fnca,13,Punishment,MostlyPunishment
6733,145531_fnca,14,Neutral,MostlyPunishment
6734,145531_fnca,15,Punishment,MostlyPunishment
6735,145531_fnca,16,Punishment,MostlyPunishment
6736,145531_fnca,17,Punishment,MostlyPunishment
6737,145531_fnca,19,Punishment,MostlyPunishment
6738,145531_fnca,20,Punishment,MostlyPunishment
6739,145531_fnca,21,Punishment,MostlyPunishment
6740,145531_fnca,22,Neutral,MostlyPunishment
6741,145531_fnca,23,Punishment,MostlyPunishment
6742,145531_fnca,24,Neutral,MostlyPunishment
6743,145531_fnca,25,Punishment,MostlyPunishment
6744,145531_fnca,26,Punishment,MostlyPunishment
6745,145531_fnca,28,Reward,MostlyReward
6746,145531_fnca,29,Reward,MostlyReward
6747,145531_fnca,30,Punishment,MostlyReward
6748,145531_fnca,31,Reward,MostlyReward
6749,145531_fnca,32,Punishment,MostlyReward
6750,145531_fnca,33,Reward,MostlyReward
6751,145531_fnca,34,Reward,MostlyReward
6752,145531_fnca,35,Reward,MostlyReward
6753,145531_fnca,1,Punishment,MostlyPunishment
6754,145531_fnca,2,Punishment,MostlyPunishment
6755,145531_fnca,3,Reward,MostlyPunishment
6756,145531_fnca,4,Punishment,MostlyPunishment
6757,145531_fnca,5,Reward,MostlyPunishment
6758,145531_fnca,6,Punishment,MostlyPunishment
6759,145531_fnca,7,Punishment,MostlyPunishment
6760,145531_fnca,8,Punishment,MostlyPunishment
6761,145531_fnca,10,Reward,MostlyReward
6762,145531_fnca,11,Neutral,MostlyReward
6763,145531_fnca,12,Reward,MostlyReward
6764,145531_fnca,13,Reward,MostlyReward
6765,145531_fnca,14,Reward,MostlyReward
6766,145531_fnca,15,Reward,MostlyReward
6767,145531_fnca,16,Neutral,MostlyReward
6768,145531_fnca,17,Reward,MostlyReward
6769,145531_fnca,19,Punishment,MostlyPunishment
6770,145531_fnca,20,Punishment,MostlyPunishment
6771,145531_fnca,21,Reward,MostlyPunishment
6772,145531_fnca,22,Punishment,MostlyPunishment
6773,145531_fnca,23,Reward,MostlyPunishment
6774,145531_fnca,24,Punishment,MostlyPunishment
6775,145531_fnca,25,Punishment,MostlyPunishment
6776,145531_fnca,26,Punishment,MostlyPunishment
6777,145531_fnca,28,Reward,MostlyReward
6778,145531_fnca,29,Reward,MostlyReward
6779,145531_fnca,30,Punishment,MostlyReward
6780,145531_fnca,31,Reward,MostlyReward
6781,145531_fnca,32,Punishment,MostlyReward
6782,145531_fnca,33,Reward,MostlyReward
6783,145531_fnca,34,Reward,MostlyReward
6784,145531_fnca,35,Reward,MostlyReward
