,HCPID,Trial,TrialType,BlockType
3969,126325_fnca,1,Reward,MostlyReward
3970,126325_fnca,2,Reward,MostlyReward
3971,126325_fnca,3,Punishment,MostlyReward
3972,126325_fnca,4,Reward,MostlyReward
3973,126325_fnca,5,Reward,MostlyReward
3974,126325_fnca,6,Reward,MostlyReward
3975,126325_fnca,7,Neutral,MostlyReward
3976,126325_fnca,8,Reward,MostlyReward
3977,126325_fnca,10,Reward,MostlyPunishment
3978,126325_fnca,11,Punishment,MostlyPunishment
3979,126325_fnca,12,Punishment,MostlyPunishment
3980,126325_fnca,13,Punishment,MostlyPunishment
3981,126325_fnca,14,Neutral,MostlyPunishment
3982,126325_fnca,15,Punishment,MostlyPunishment
3983,126325_fnca,16,Punishment,MostlyPunishment
3984,126325_fnca,17,Punishment,MostlyPunishment
3985,126325_fnca,19,Punishment,MostlyPunishment
3986,126325_fnca,20,Punishment,MostlyPunishment
3987,126325_fnca,21,Punishment,MostlyPunishment
3988,126325_fnca,22,Neutral,MostlyPunishment
3989,126325_fnca,23,Punishment,MostlyPunishment
3990,126325_fnca,24,Neutral,MostlyPunishment
3991,126325_fnca,25,Punishment,MostlyPunishment
3992,126325_fnca,26,Punishment,MostlyPunishment
3993,126325_fnca,28,Reward,MostlyReward
3994,126325_fnca,29,Reward,MostlyReward
3995,126325_fnca,30,Punishment,MostlyReward
3996,126325_fnca,31,Reward,MostlyReward
3997,126325_fnca,32,Punishment,MostlyReward
3998,126325_fnca,33,Reward,MostlyReward
3999,126325_fnca,34,Reward,MostlyReward
4000,126325_fnca,35,Reward,MostlyReward
4001,126325_fnca,1,Punishment,MostlyPunishment
4002,126325_fnca,2,Punishment,MostlyPunishment
4003,126325_fnca,3,Reward,MostlyPunishment
4004,126325_fnca,4,Punishment,MostlyPunishment
4005,126325_fnca,5,Reward,MostlyPunishment
4006,126325_fnca,6,Punishment,MostlyPunishment
4007,126325_fnca,7,Punishment,MostlyPunishment
4008,126325_fnca,8,Punishment,MostlyPunishment
4009,126325_fnca,10,Reward,MostlyReward
4010,126325_fnca,11,Neutral,MostlyReward
4011,126325_fnca,12,Reward,MostlyReward
4012,126325_fnca,13,Reward,MostlyReward
4013,126325_fnca,14,Reward,MostlyReward
4014,126325_fnca,15,Reward,MostlyReward
4015,126325_fnca,16,Neutral,MostlyReward
4016,126325_fnca,17,Reward,MostlyReward
4017,126325_fnca,19,Punishment,MostlyPunishment
4018,126325_fnca,20,Punishment,MostlyPunishment
4019,126325_fnca,21,Reward,MostlyPunishment
4020,126325_fnca,22,Punishment,MostlyPunishment
4021,126325_fnca,23,Reward,MostlyPunishment
4022,126325_fnca,24,Punishment,MostlyPunishment
4023,126325_fnca,25,Punishment,MostlyPunishment
4024,126325_fnca,26,Punishment,MostlyPunishment
4025,126325_fnca,28,Reward,MostlyReward
4026,126325_fnca,29,Reward,MostlyReward
4027,126325_fnca,30,Punishment,MostlyReward
4028,126325_fnca,31,Reward,MostlyReward
4029,126325_fnca,32,Punishment,MostlyReward
4030,126325_fnca,33,Reward,MostlyReward
4031,126325_fnca,34,Reward,MostlyReward
4032,126325_fnca,35,Reward,MostlyReward
