,HCPID,Trial,TrialType,BlockType
6209,140925_fnca,1,Reward,MostlyReward
6210,140925_fnca,2,Reward,MostlyReward
6211,140925_fnca,3,Punishment,MostlyReward
6212,140925_fnca,4,Reward,MostlyReward
6213,140925_fnca,5,Reward,MostlyReward
6214,140925_fnca,6,Reward,MostlyReward
6215,140925_fnca,7,Neutral,MostlyReward
6216,140925_fnca,8,Reward,MostlyReward
6217,140925_fnca,10,Reward,MostlyPunishment
6218,140925_fnca,11,Punishment,MostlyPunishment
6219,140925_fnca,12,Punishment,MostlyPunishment
6220,140925_fnca,13,Punishment,MostlyPunishment
6221,140925_fnca,14,Neutral,MostlyPunishment
6222,140925_fnca,15,Punishment,MostlyPunishment
6223,140925_fnca,16,Punishment,MostlyPunishment
6224,140925_fnca,17,Punishment,MostlyPunishment
6225,140925_fnca,19,Punishment,MostlyPunishment
6226,140925_fnca,20,Punishment,MostlyPunishment
6227,140925_fnca,21,Punishment,MostlyPunishment
6228,140925_fnca,22,Neutral,MostlyPunishment
6229,140925_fnca,23,Punishment,MostlyPunishment
6230,140925_fnca,24,Neutral,MostlyPunishment
6231,140925_fnca,25,Punishment,MostlyPunishment
6232,140925_fnca,26,Punishment,MostlyPunishment
6233,140925_fnca,28,Reward,MostlyReward
6234,140925_fnca,29,Reward,MostlyReward
6235,140925_fnca,30,Punishment,MostlyReward
6236,140925_fnca,31,Reward,MostlyReward
6237,140925_fnca,32,Punishment,MostlyReward
6238,140925_fnca,33,Reward,MostlyReward
6239,140925_fnca,34,Reward,MostlyReward
6240,140925_fnca,35,Reward,MostlyReward
6241,140925_fnca,1,Punishment,MostlyPunishment
6242,140925_fnca,2,Punishment,MostlyPunishment
6243,140925_fnca,3,Reward,MostlyPunishment
6244,140925_fnca,4,Punishment,MostlyPunishment
6245,140925_fnca,5,Reward,MostlyPunishment
6246,140925_fnca,6,Punishment,MostlyPunishment
6247,140925_fnca,7,Punishment,MostlyPunishment
6248,140925_fnca,8,Punishment,MostlyPunishment
6249,140925_fnca,10,Reward,MostlyReward
6250,140925_fnca,11,Neutral,MostlyReward
6251,140925_fnca,12,Reward,MostlyReward
6252,140925_fnca,13,Reward,MostlyReward
6253,140925_fnca,14,Reward,MostlyReward
6254,140925_fnca,15,Reward,MostlyReward
6255,140925_fnca,16,Neutral,MostlyReward
6256,140925_fnca,17,Reward,MostlyReward
6257,140925_fnca,19,Punishment,MostlyPunishment
6258,140925_fnca,20,Punishment,MostlyPunishment
6259,140925_fnca,21,Reward,MostlyPunishment
6260,140925_fnca,22,Punishment,MostlyPunishment
6261,140925_fnca,23,Reward,MostlyPunishment
6262,140925_fnca,24,Punishment,MostlyPunishment
6263,140925_fnca,25,Punishment,MostlyPunishment
6264,140925_fnca,26,Punishment,MostlyPunishment
6265,140925_fnca,28,Reward,MostlyReward
6266,140925_fnca,29,Reward,MostlyReward
6267,140925_fnca,30,Punishment,MostlyReward
6268,140925_fnca,31,Reward,MostlyReward
6269,140925_fnca,32,Punishment,MostlyReward
6270,140925_fnca,33,Reward,MostlyReward
6271,140925_fnca,34,Reward,MostlyReward
6272,140925_fnca,35,Reward,MostlyReward
