TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,ans,bll,lf
Reward,MostlyReward,j,1033,0,0,0,0.05,0.5,0.5
Reward,MostlyReward,j,1190,1,1,0,0.05,0.5,0.5
Punishment,MostlyReward,f,2279,2,2,0,0.05,0.5,0.5
Reward,MostlyReward,j,1176,3,3,0,0.05,0.5,0.5
Reward,MostlyReward,j,1165,4,4,0,0.05,0.5,0.5
Reward,MostlyReward,f,1918,5,5,0,0.05,0.5,0.5
Neutral,MostlyReward,f,1531,6,6,0,0.05,0.5,0.5
Reward,MostlyReward,j,1168,7,7,0,0.05,0.5,0.5
Reward,MostlyPunishment,j,1138,0,8,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1143,1,9,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1143,2,10,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1594,3,11,0,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1461,4,12,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1130,5,13,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1124,6,14,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1447,7,15,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1456,0,16,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1145,1,17,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1371,2,18,0,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1114,3,19,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1349,4,20,0,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1364,5,21,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1118,6,22,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1339,7,23,0,0.05,0.5,0.5
Reward,MostlyReward,f,1339,0,24,0,0.05,0.5,0.5
Reward,MostlyReward,f,1295,1,25,0,0.05,0.5,0.5
Punishment,MostlyReward,j,1106,2,26,0,0.05,0.5,0.5
Reward,MostlyReward,f,1264,3,27,0,0.05,0.5,0.5
Punishment,MostlyReward,j,1123,4,28,0,0.05,0.5,0.5
Reward,MostlyReward,j,1100,5,29,0,0.05,0.5,0.5
Reward,MostlyReward,j,1102,6,30,0,0.05,0.5,0.5
Reward,MostlyReward,j,1108,7,31,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1279,0,32,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1101,1,33,0,0.05,0.5,0.5
Reward,MostlyPunishment,j,1103,2,34,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1101,3,35,0,0.05,0.5,0.5
Reward,MostlyPunishment,j,1093,4,36,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1267,5,37,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1092,6,38,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1092,7,39,0,0.05,0.5,0.5
Reward,MostlyReward,f,1325,0,40,0,0.05,0.5,0.5
Neutral,MostlyReward,f,1222,1,41,0,0.05,0.5,0.5
Reward,MostlyReward,j,1102,2,42,0,0.05,0.5,0.5
Reward,MostlyReward,j,1086,3,43,0,0.05,0.5,0.5
Reward,MostlyReward,f,1250,4,44,0,0.05,0.5,0.5
Reward,MostlyReward,j,1094,5,45,0,0.05,0.5,0.5
Neutral,MostlyReward,j,1090,6,46,0,0.05,0.5,0.5
Reward,MostlyReward,j,1085,7,47,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1089,0,48,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1212,1,49,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1256,2,50,0,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1085,3,51,0,0.05,0.5,0.5
Reward,MostlyPunishment,j,1087,4,52,0,0.05,0.5,0.5
