HCPID,ParamID.m1,ans.m1,bll.m1,lf.m1,PSwitch.LL.m1,PSwitch.mean_Punishment_MostlyPunishment.m1,PSwitch.mean_Reward_MostlyPunishment.m1,PSwitch.mean_Punishment_MostlyReward.m1,PSwitch.mean_Reward_MostlyReward.m1,PSwitch.sd_Punishment_MostlyPunishment.m1,PSwitch.sd_Reward_MostlyPunishment.m1,PSwitch.sd_Punishment_MostlyReward.m1,PSwitch.sd_Reward_MostlyReward.m1,ParamID.m2,ans.m2,bll.m2,lf.m2,PSwitch.LL.m2,PSwitch.mean_Punishment_MostlyPunishment.m2,PSwitch.mean_Reward_MostlyPunishment.m2,PSwitch.mean_Punishment_MostlyReward.m2,PSwitch.mean_Reward_MostlyReward.m2,PSwitch.sd_Punishment_MostlyPunishment.m2,PSwitch.sd_Reward_MostlyPunishment.m2,PSwitch.sd_Punishment_MostlyReward.m2,PSwitch.sd_Reward_MostlyReward.m2,Punishment_MostlyPunishment.subj,Reward_MostlyPunishment.subj,Punishment_MostlyReward.subj,Reward_MostlyReward.subj,best_model,maxLL_diff
172029_fnca,124,0.5,0.5,0.1,-4.70901537362193,0.405,0.356,0.424,0.395,0.168198740561666,0.259638681436259,0.269965984251833,0.176487844294369,102,0.4,0.7,0.1,-4.43789126026891,0.358,0.34,0.372,0.321,0.192024658280532,0.239897937482095,0.258756839602002,0.198486621149916,0.4,0.4,0.8,0.45,m2,0.2711241133530198
171633_fnca,76,0.3,0.7,0.1,-4.43408425534248,0.305,0.272,0.34,0.312,0.215768678099903,0.241627137278468,0.292072118575155,0.235943611388616,93,0.4,0.25,0.1,-4.56906327200656,0.349,0.32,0.328,0.329,0.20215421472384,0.288557283953202,0.251558408034916,0.237780983088151,0.3,0.2,0.6,0.5,m1,0.1349790166640803
171431_fnca,71,0.3,0.45,0.1,-5.94682551589781,0.312,0.336,0.3,0.304,0.220750112672447,0.308888725754048,0.280669752919836,0.236004150776366,81,0.35,0.3,0.1,-7.04723535792187,0.366,0.336,0.352,0.316,0.236349792658669,0.298130227674185,0.278655664919694,0.216285903000484,0.333333333333333,0.8,0.2,0.65,m1,1.1004098420240593
170934_fnca,128,0.5,0.7,0.1,-4.62783484147501,0.425,0.42,0.416,0.404,0.150932475779396,0.277746029931765,0.245248728387142,0.16094110977723,102,0.4,0.7,0.1,-5.63426323704627,0.351,0.296,0.312,0.298,0.200888333282397,0.265698924287147,0.242974761433935,0.187071960398524,0.4,0.8,0.4,0.4,m1,1.0064283955712607
169444_fnca,112,0.45,0.55,0.1,-4.97631213281818,0.448,0.444,0.416,0.411,0.143199589555905,0.25647532403086,0.227999283922971,0.17240495754982,91,0.35,0.8,0.1,-5.09762726621295,0.318,0.256,0.292,0.296,0.23577055605406,0.249210999855503,0.25938703254608,0.213532007828679,0.5,0.6,0.2,0.6,m1,0.12131513339476996
169343_fnca,109,0.45,0.4,0.1,-5.04954261273553,0.413,0.42,0.4,0.403,0.196086715511276,0.239897937482095,0.245780721915504,0.189362518110914,61,0.25,0.6,0.1,-4.24303917982432,0.17,0.164,0.196,0.189,0.221543748846726,0.231022571562669,0.240713225940863,0.224128698451108,0.65,0.6,0.6,0.45,m2,0.8065034329112093
169141_fnca,7,0.05,0.5,0.1,-5.18853124940997,0.211,0.16,0.236,0.221,0.267698047990566,0.221313334068995,0.301533495617969,0.279410823275093,94,0.4,0.3,0.1,-10.719289414641,0.336,0.34,0.316,0.311,0.209479432529929,0.265729646253404,0.294410514452878,0.237394444857034,0,0.2,0.2,0.65,m1,5.53075816523103
168341_fnca,93,0.4,0.25,0.1,-4.23364315104857,0.385,0.4,0.372,0.327,0.202597922909755,0.315581743348207,0.279970843963059,0.190918830920368,92,0.4,0.2,0.1,-5.58467307434029,0.371,0.372,0.416,0.343,0.187923671000885,0.307750230026937,0.251817880417494,0.175548702469644,0.5,0.6,0.2,0.35,m1,1.35102992329172
168139_fnca,25,0.1,0.75,0.1,-4.82616173712876,0.197,0.212,0.212,0.217,0.260182432072543,0.311441677312698,0.308809432022603,0.278225059391618,103,0.4,0.75,0.1,-9.11608624907635,0.362,0.352,0.372,0.33,0.213465095364033,0.272733704315011,0.302398574664603,0.217124059336724,0.15,0.4,0,0.55,m1,4.28992451194759
167743_fnca,72,0.3,0.5,0.1,-4.25337209853447,0.292,0.228,0.344,0.262,0.255222991735079,0.258756839602002,0.320815287945559,0.235727272369523,12,0.05,0.75,0.1,-4.3709601043042,0.114,0.108,0.1,0.109,0.221783126278896,0.22932020212367,0.20303814862217,0.215636220500724,0.473684210526316,0.2,0.6,0.263157894736842,m1,0.11758800576973005
167036_fnca,126,0.5,0.6,0.1,-5.06293600240323,0.442,0.388,0.404,0.414,0.179386710312483,0.278215890330968,0.289940176799368,0.172330958285717,52,0.2,0.8,0.1,-5.22527033655365,0.128,0.132,0.144,0.139,0.199017997340206,0.234250868488796,0.25885146635214,0.2195287159869,0.7,0.2,0.4,0.5,m1,0.16233433415041976
166438_fnca,80,0.35,0.25,0.1,-3.90694111259732,0.315,0.348,0.32,0.29,0.214345229830338,0.299141629141974,0.27404751561787,0.233430494833831,83,0.35,0.4,0.1,-5.09571516056907,0.302,0.284,0.316,0.287,0.234076561694446,0.25900910077778,0.274315474575965,0.214478484720877,0.35,0.4,0.4,0.157894736842105,m1,1.1887740479717501
165840_fnca,121,0.5,0.35,0.1,-5.51054000795379,0.438,0.448,0.492,0.423,0.156674627095488,0.266680271761784,0.222086579917815,0.153267140400448,71,0.3,0.45,0.1,-5.07527575121897,0.306,0.304,0.308,0.305,0.221691088624487,0.297582092943807,0.3002312034253,0.238458056894623,0.6,0.8,0.4,0.55,m2,0.43526425673482017
