"","HCPID","ParamID.m1","ans","bll","lf","PSwitch.LL.m1","ParamID.m2","egs","alpha","r","PSwitch.LL.m2","best_model"
"109","107422_fnca",26,0.1,0.8,0.1,-3.8681422852437,105,0.5,0.25,1,-6.40329687885064,"m1"
"110","107321_fnca",78,0.3,0.8,0.1,-3.9063771195672,104,0.5,0.2,1,-4.73222558135961,"m1"
"111","106521_fnca",75,0.3,0.65,0.1,-4.4664205609836,93,0.45,0.15,1,-6.11643910788579,"m1"
"112","106319_fnca",120,0.5,0.3,0.1,-4.0055731388928,52,0.25,0.1,1,-4.28070431734629,"m1"
"113","106016_fnca",96,0.4,0.4,0.1,-5.26937539362547,93,0.45,0.15,1,-6.60440603909573,"m1"
"114","105216_fnca",21,0.1,0.55,0.1,-3.88981201771789,74,0.35,0.2,1,-7.80452416764622,"m1"
"115","105115_fnca",133,NA,0.3,0.1,-3.96386706442914,95,0.45,0.25,1,-9.21706470506267,"m1"
"116","105115_fnca",133,NA,0.3,0.1,-3.96386706442914,95,0.45,0.25,1,-9.21706470506267,"m1"
"117","105014_fnca",118,0.5,0.2,0.1,-4.36686110021077,102,0.5,0.1,1,-4.45116147129434,"m1"
"118","104820_fnca",97,0.4,0.45,0.1,-4.42954319525877,81,0.4,0.05,1,-4.75955971518093,"m1"
"119","103818_fnca",67,0.3,0.25,0.1,-4.31668497159665,63,0.3,0.15,1,-4.56654615843371,"m1"
"120","103515_fnca",120,0.5,0.3,0.1,-5.24917753893606,21,0.1,0.05,1,-4.27628891379125,"m2"
"121","103414_fnca",124,0.5,0.5,0.1,-4.25369247010677,41,0.2,0.05,1,-3.70067301071114,"m2"
"122","103111_fnca",122,0.5,0.4,0.1,-5.1804447131533,71,0.35,0.05,1,-5.52108197059395,"m1"
"123","102816_fnca",127,0.5,0.65,0.1,-4.37070027825837,91,0.45,0.05,1,-4.00931100480064,"m2"
"124","102311_fnca",128,0.5,0.7,0.1,-4.3346327083216,81,0.4,0.05,1,-4.59723200193659,"m1"
"125","102008_fnca",127,0.5,0.65,0.1,-4.06661105575449,72,0.35,0.1,1,-3.78543345554398,"m2"
"126","101915_fnca",109,0.45,0.4,0.1,-3.70186885224239,103,0.5,0.15,1,-3.99258312537177,"m1"
"127","101410_fnca",116,0.45,0.75,0.1,-4.16038876546613,62,0.3,0.1,1,-4.09266844103572,"m2"
"128","101309_fnca",92,0.4,0.2,0.1,-5.94441423645992,101,0.5,0.05,1,-10.0896518224021,"m1"
"129","101107_fnca",45,0.2,0.45,0.1,-3.79306008293806,94,0.45,0.2,1,-5.07206586561215,"m1"
"130","101006_fnca",84,0.35,0.45,0.1,-5.89800252187706,11,0.05,0.05,1,-5.174312336517,"m2"
"131","100408_fnca",109,0.45,0.4,0.1,-4.87683826303562,51,0.25,0.05,1,-4.66011711007727,"m2"
"132","100307_fnca",126,0.5,0.6,0.1,-5.23660418596323,81,0.4,0.05,1,-5.83460461005088,"m1"
