TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,alpha,egs,r
Reward,MostlyReward,f,645,4,4,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,5,2,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,6,6,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,7,2,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,0,8,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,9,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,2,10,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,3,11,2,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,4,12,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,5,13,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,14,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,7,15,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,16,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,17,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,2,18,2,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,f,645,3,19,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,4,20,2,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,5,21,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,6,22,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,23,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,0,24,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,25,2,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,26,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,27,2,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,4,28,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,5,29,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,6,30,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,7,31,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,32,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,33,2,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,2,34,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,3,35,2,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,4,36,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,5,37,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,38,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,39,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,40,2,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,j,645,1,41,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,2,42,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,43,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,4,44,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,5,45,2,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,6,46,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,47,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,0,48,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,49,2,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,2,50,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,3,51,2,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,4,52,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,5,53,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,6,54,2,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,55,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,0,56,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,57,2,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,58,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,59,2,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,4,60,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,61,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,6,62,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,7,63,2,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,0,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,1,3,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,2,2,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,3,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,4,4,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,5,5,3,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,6,6,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,7,3,0.401534,1.2984301,0.688704535
