TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,alpha,egs,r
Reward,MostlyReward,f,645,0,0,26,0.5,0.2,1
Reward,MostlyReward,j,645,1,1,26,0.5,0.2,1
Punishment,MostlyReward,f,645,2,2,26,0.5,0.2,1
Reward,MostlyReward,j,645,3,3,26,0.5,0.2,1
Reward,MostlyReward,j,645,4,4,26,0.5,0.2,1
Reward,MostlyReward,j,645,5,5,26,0.5,0.2,1
Neutral,MostlyReward,f,645,6,6,26,0.5,0.2,1
Reward,MostlyReward,f,645,7,7,26,0.5,0.2,1
Reward,MostlyPunishment,j,645,0,8,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,1,9,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,2,10,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,3,11,26,0.5,0.2,1
Neutral,MostlyPunishment,j,645,4,12,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,5,13,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,6,14,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,7,15,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,0,16,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,1,17,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,2,18,26,0.5,0.2,1
Neutral,MostlyPunishment,f,645,3,19,26,0.5,0.2,1
Punishment,MostlyPunishment,f,645,4,20,26,0.5,0.2,1
Neutral,MostlyPunishment,f,645,5,21,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,6,22,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,7,23,26,0.5,0.2,1
Reward,MostlyReward,j,645,0,24,26,0.5,0.2,1
Reward,MostlyReward,j,645,1,25,26,0.5,0.2,1
Punishment,MostlyReward,j,645,2,26,26,0.5,0.2,1
Reward,MostlyReward,j,645,3,27,26,0.5,0.2,1
Punishment,MostlyReward,j,645,4,28,26,0.5,0.2,1
Reward,MostlyReward,j,645,5,29,26,0.5,0.2,1
Reward,MostlyReward,j,645,6,30,26,0.5,0.2,1
Reward,MostlyReward,j,645,7,31,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,0,32,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,1,33,26,0.5,0.2,1
Reward,MostlyPunishment,j,645,2,34,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,3,35,26,0.5,0.2,1
Reward,MostlyPunishment,j,645,4,36,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,5,37,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,6,38,26,0.5,0.2,1
Punishment,MostlyPunishment,j,645,7,39,26,0.5,0.2,1
Reward,MostlyReward,j,645,0,40,26,0.5,0.2,1
Neutral,MostlyReward,j,645,1,41,26,0.5,0.2,1
